S0001	1	stf	PROPN	LEMMA	STF	stf
S0001	6	chamadas	NOUN	LEMMA	chamada	chamado
S0001	58	facebook	X	FEATS	Foreign=Yes|Gender=Masc|Number=Sing	Foreign=Yes
S0003	3	chamadas	NOUN	LEMMA	chamada	chamado
S0005	5	chamadas	NOUN	LEMMA	chamada	chamado
S0007	5	chamadas	NOUN	LEMMA	chamada	chamado
S0007	6	whatsapp	X	FEATS	Foreign=Yes|Gender=Masc|Number=Sing	Foreign=Yes
S0011	2	facebook	X	FEATS	Foreign=Yes|Gender=Masc|Number=Sing	Foreign=Yes
S0029	4	voce	PRON	FEATS	_	PronType=Dem

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 5
Fchanged - fixed: 4
