S0011	48	facebook	X	FEATS	Foreign=Yes|Gender=Masc|Number=Sing	Foreign=Yes
S0017	10	detetive	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0017	34	cm	NOUN	LEMMA	cm	centímetro
S0017	34	cm	NOUN	FEATS	Gender=Masc|Number=Plur	Abbr=Yes|Gender=Masc
S0017	37	meses	NOUN	LEMMA	meses	mÃªs
S0017	38	pra	ADP	LEMMA	pra	para
S0017	38	pra	ADP	FEATS	Abbr=Yes	_
S0019	1	Hahaha	PUNCT	LEMMA	HAHAHA	Hahaha

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 4
Fchanged - fixed: 4
