S0001	14	terça-feira	NOUN	LEMMA	terça-fEira	terça-feira
S0001	24	nucleares	ADJ	LEMMA	nuclearl	nuclear
S0001	37	nucleares	ADJ	LEMMA	nuclearl	nuclear
S0003	24	Eui-yong	PROPN	LEMMA	Eui-YOng	Eui-yong
S0003	33	Jae-in	PROPN	LEMMA	Jae-IN	Jae-in
S0005	4	prometido	VERB	LEMMA	prometir	prometer
S0009	32	Jae-in	PROPN	LEMMA	Jae-In	Jae-in
S0011	9	Jae-in	PROPN	LEMMA	Jae-In	Jae-in
S0021	13	nucleares	ADJ	LEMMA	nuclearl	nuclear
S0025	2	Jae-in	PROPN	LEMMA	Jae-In	Jae-in
S0027	16	sul-coreano	ADJ	LEMMA	sul-cOreano	sul-coreano

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 11
Fchanged - fixed: 0
