S0001	7	conquistou	VERB	LEMMA	conquistor	conquistar
S0005	32	descoberto	VERB	LEMMA	descobeer	descobrir
S0007	7	100m	NOUN	FEATS	Gender=Masc|Number=Plur	_
S0007	14	100m	NOUN	FEATS	Gender=Masc|Number=Plur	_
S0007	20	100m	NOUN	FEATS	Gender=Masc|Number=Plur	_
S0007	26	100m	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0007	32	200m	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0007	33	medley	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0007	38	400m	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0007	45	4x100m	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0007	48	4x100m	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0007	49	medley	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0017	1	Modelo	NOUN	FEATS	Gender=Masc|Number=Sing	Number=Sing
S0017	8	Coca-Cola	PROPN	LEMMA	Coca-cola	Coca-Cola

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 3
Fchanged - fixed: 11
