S0001	41	marcelo	PROPN	LEMMA	Marcelo	marcelo
S0003	1	…	ADJ	FEATS	Gender=Masc|NumType=Ord	_
S0003	6	previstos	VERB	LEMMA	previsr	prever
S0003	39	1h	NOUN	LEMMA	1H	1h
S0003	39	1h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	42	17h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	62	4m²	NOUN	FEATS	Gender=Masc	_
S0003	67	1h	NOUN	LEMMA	1H	1h
S0003	67	1h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	73	bares	NOUN	LEMMA	bare	bar
S0003	89	23h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0005	15	4m²	NOUN	LEMMA	4M²	4m²
S0005	15	4m²	NOUN	FEATS	Gender=Masc	_
S0005	17	inseridas	VERB	LEMMA	inserido	inserir

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 7
