S0019	5	tão	ADV	FEATS	Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin	_
S0031	6	lula	NOUN	FEATS	Number=Sing	Gender=Fem|Number=Sing
S0031	9	lula	NOUN	FEATS	Number=Sing	Gender=Fem|Number=Sing
S0031	13	m	NOUN	LEMMA	m	metro
S0031	13	m	NOUN	FEATS	Gender=Masc|Number=Sing	Abbr=Yes|Gender=Masc
S0031	29	lula	NOUN	FEATS	Number=Sing	Gender=Fem|Number=Sing
S0033	3	lula	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0035	3	lula	NOUN	FEATS	Number=Sing	Gender=Fem|Number=Sing
S0045	3	sirva	VERB	LEMMA	sirva	servir
S0047	3	brasil	NOUN	FEATS	_	Gender=Masc|Number=Sing
S0047	9	“fábio	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0047	19	“fabio	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0047	43	“fábio	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0047	53	verdade…	PUNCT	LEMMA	VERDADE…	verdade…
S0047	55	são”	ADJ	LEMMA	são	são”
S0047	55	são”	ADJ	FEATS	Number=Plur	_
S0047	58	“fábio	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0051	2	pra	ADP	LEMMA	pra	para
S0051	2	pra	ADP	FEATS	Abbr=Yes	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 5
Fchanged - fixed: 14
