S0003	4	hoje(24	NUM	LEMMA	HOJE(24	hoje(24
S0005	1	Dona	NOUN	LEMMA	Dona	dona
S0009	3	senhora	NOUN	LEMMA	senhoro	senhor
S0009	12	senhora	NOUN	LEMMA	senhoro	senhor
S0013	1	MENTIRA	NOUN	LEMMA	MENTIRA	mentira
S0013	1	MENTIRA	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0013	14	cicatrizes	NOUN	LEMMA	cicatrize	cicatriz
S0015	12	ROUBO	PROPN	LEMMA	roubo	ROUBO
S0015	12	ROUBO	PROPN	FEATS	Gender=Masc|Number=Sing	_
S0015	13	INDISCRIMINADO	ADJ	LEMMA	indiscriminar	indiscriminado
S0015	13	INDISCRIMINADO	ADJ	FEATS	Gender=Masc|Number=Sing|VerbForm=Part	Gender=Masc|Number=Sing
S0015	14	QUE	PRON	LEMMA	QUE	que
S0015	17	PROMOVEU	VERB	LEMMA	promovar	promover
S0019	2	DILMA	PROPN	LEMMA	Dilma	DILMA
S0019	5	ILEGAIS	ADJ	FEATS	_	Number=Plur
S0021	9	EMPREITEIRA	NOUN	LEMMA	EMPREITEIRA	empreiteiro
S0021	20	MENTIRA	NOUN	LEMMA	MENTIRA	mentira
S0021	20	MENTIRA	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0023	2	DILMA	PROPN	LEMMA	Dilma	DILMA
S0025	6	ESTÁ	AUX	LEMMA	ESTÁ	está
S0025	6	ESTÁ	AUX	FEATS	_	VerbForm=Fin
S0025	34	NÃO	ADV	LEMMA	NÃO	não
S0025	40	NÃO	ADV	LEMMA	NÃO	não
S0025	43	ENQUANTO	SCONJ	LEMMA	ENQUANTO	enquanto
S0025	44	NÃO	ADV	LEMMA	NÃO	não
S0027	11	ESCOLHEU	VERB	LEMMA	escolhar	escolher

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 20
Fchanged - fixed: 6
