S0007	12	pouco	ADV	FEATS	Gender=Masc|Number=Sing	_
S0009	9	estiveram	AUX	LEMMA	estiveram	estar
S0009	18	tiveram	VERB	LEMMA	tiveram	ter
S0013	8	e	CCONJ	FEATS	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	_
S0013	14	e.	PUNCT	LEMMA	E.	e.
S0045	11	18h30m	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0045	43	tijuca	NOUN	LEMMA	tijuca	tijuco
S0049	7	tijuca	NOUN	LEMMA	tijuca	tijuco
S0057	19	belci	PROPN	LEMMA	Belci	belci
S0057	23	pires	NOUN	FEATS	Gender=Fem|Number=Sing	Gender=Masc
S0057	26	suely	PROPN	LEMMA	Suely	suely
S0057	31	j	NOUN	FEATS	_	Gender=Masc|Number=Sing
S0057	44	voce	PRON	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Sing|PronType=Dem
S0057	45	quiser	VERB	LEMMA	quiser	querer
S0057	65	whatsapp	NOUN	LEMMA	wHatsapp	whatsapp

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 9
Fchanged - fixed: 6
