S0001	14	revolta	NOUN	LEMMA	revolta	revolto
S0001	54	meses	NOUN	LEMMA	meses	m̻s
S0005	14	meses	NOUN	LEMMA	meses	m̻s
S0019	6	gastos	VERB	LEMMA	gasr	gastar
S0019	20	meses	NOUN	LEMMA	meses	m̻s
S0019	31	gasto	VERB	LEMMA	gasr	gastar
S0025	13	propostas	VERB	LEMMA	proposr	propor
S0031	3	opositores	NOUN	LEMMA	opositore	opositor
S0035	19	propostas	VERB	LEMMA	proposr	propor

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 9
Fchanged - fixed: 0
