S0011	9	comprovado	ADJ	LEMMA	comprovar	comprovado
S0019	15	meses	NOUN	LEMMA	meses	m̻s
S0021	15	visse	VERB	LEMMA	vir	ver
S0021	24	meses	NOUN	LEMMA	meses	m̻s
S0023	3	desconheciam	VERB	LEMMA	desconhecr	desconhecer
S0027	18	meses	NOUN	LEMMA	meses	m̻s
S0027	20	mantinha	VERB	LEMMA	mantiner	manter
S0033	5	meses	NOUN	LEMMA	meses	m̻s
S0033	20	meses	NOUN	LEMMA	meses	m̻s
S0035	14	meses	NOUN	LEMMA	meses	m̻s
S0039	19	Art.	PUNCT	LEMMA	ART.	Art.
S0041	14	Art.	PUNCT	LEMMA	ART.	Art.
S0043	7	b	NOUN	FEATS	Gender=Fem|Number=Sing	Gender=Masc|Number=Sing
S0045	1	Art.	PUNCT	LEMMA	ART.	Art.
S0047	37	contenha	VERB	LEMMA	contener	conter
S0049	1	Art.	PUNCT	LEMMA	ART.	Art.
S0051	2	B	NOUN	LEMMA	B	b
S0051	2	B	NOUN	FEATS	_	Gender=Masc|Number=Sing
S0051	22	contenha	VERB	LEMMA	contener	conter

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 17
Fchanged - fixed: 2
