S0001	3	ABORTO	PROPN	LEMMA	aborto	ABORTO
S0005	17	67o	ADJ	FEATS	Gender=Masc|Number=Sing|NumType=Ord	Gender=Masc|NumType=Ord
S0007	17	14a	ADJ	LEMMA	14o	14a
S0007	17	14a	ADJ	FEATS	Gender=Fem|Number=Sing|NumType=Ord	Gender=Fem|NumType=Ord
S0011	3	14a	ADJ	LEMMA	14o	14a
S0011	3	14a	ADJ	FEATS	Gender=Fem|Number=Sing|NumType=Ord	Gender=Fem|NumType=Ord
S0021	18	norte-americanos	ADJ	LEMMA	norte-Americano	norte-americano
S0025	16	14a	ADJ	LEMMA	14o	14a
S0025	16	14a	ADJ	FEATS	Gender=Fem|Number=Sing|NumType=Ord	Gender=Fem|NumType=Ord
S0027	22	demonstrem	VERB	LEMMA	demonscar	demonstrar
S0029	17	oferecidas	VERB	LEMMA	oferecir	oferecer

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 4
