S0003	2	né?”	INTJ	LEMMA	NÉ?”	né?”
S0003	5	“urnas	NOUN	LEMMA	“urna	“urnas
S0003	5	“urnas	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	12	sp	PROPN	LEMMA	SP	sp
S0005	2	queima	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0005	7	“urnas	NOUN	LEMMA	“urna	“urnas
S0005	7	“urnas	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0005	16	sp	PROPN	LEMMA	SP	sp
S0013	2	gt;urnas	NOUN	LEMMA	gt;urna	gt;urnas
S0013	2	gt;urnas	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0013	14	gt;transportadora	NOUN	LEMMA	gt;transportador	gt;transportadora
S0013	14	gt;transportadora	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0015	4	tweet”	ADJ	FEATS	Gender=Masc|Number=Sing	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 6
