S0001	11	covid-19	NUM	LEMMA	COVID-19	covid-19
S0001	20	epilepsia(fonte	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0001	26	mal	NOUN	LEMMA	ma	mal
S0001	26	mal	NOUN	FEATS	Gender=Masc|Number=Plur	Gender=Masc|Number=Sing
S0001	43	covid(fonte	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0001	52	“vacina”	ADJ	FEATS	Gender=Fem|Number=Sing	_
S0001	54	as	ADP	FEATS	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	_
S0013	5	puta	NOUN	LEMMA	puta	puto
S0015	36	implementar”	PUNCT	LEMMA	IMPLEMENTAR”	implementar”
S0017	9	dr.	NOUN	LEMMA	denhor	dr.
S0017	9	dr.	NOUN	FEATS	Abbr=Yes|Gender=Masc|Number=Sing	_
S0019	31	dr.	NOUN	LEMMA	denhor	dr.
S0019	31	dr.	NOUN	FEATS	Abbr=Yes|Gender=Masc|Number=Sing	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 6
Fchanged - fixed: 7
