S0001	1	Descubra	VERB	LEMMA	descubcer	descobrir
S0011	6	Jd.	PUNCT	LEMMA	JD.	Jd.
S0015	1	3a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0017	1	3a	NOUN	LEMMA	3A	3a
S0017	1	3a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0017	3	5a	NOUN	LEMMA	5A	5a
S0017	3	5a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0017	5	19h/22h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0021	44	discutem	VERB	LEMMA	discuter	discutir
S0021	64	malditos	ADJ	FEATS	Gender=Masc|Number=Plur	Gender=Masc|Number=Plur|VerbForm=Part
S0029	1	3a	NOUN	LEMMA	3A	3a
S0029	1	3a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0029	3	14h/17h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0037	8	Jd.	PUNCT	LEMMA	JD.	Jd.
S0041	1	5a	NOUN	LEMMA	5A	5a
S0041	1	5a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0041	6	1o/3	NUM	LEMMA	1O/3	1o/3
S0041	8	20h/22h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0045	31	poderes	NOUN	LEMMA	podere	poder
S0053	3	10h/13h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0057	16	descubra	VERB	LEMMA	descubrer	descobrir
S0063	1	1o/3	NUM	LEMMA	1O/3	1o/3
S0063	5	9h/16h	NOUN	LEMMA	9H/16h	9h/16h
S0063	5	9h/16h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0063	12	9h/16h	NOUN	LEMMA	9H/16h	9h/16h
S0063	12	9h/16h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0069	32	vozes	NOUN	LEMMA	voze	voz
S0069	35	poetas	NOUN	FEATS	Number=Plur	Gender=Masc|Number=Plur
S0079	1	2a	NOUN	LEMMA	2A	2a
S0079	1	2a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0079	3	19h30/22h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0083	3	O	PROPN	FEATS	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	_
S0083	22	subconsciente	NOUN	FEATS	Gender=Masc|Number=Sing	Number=Sing
S0091	1	4a	NOUN	LEMMA	4A	4a
S0091	1	4a	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0093	1	4a	NOUN	LEMMA	4A	4a
S0093	1	4a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0093	3	6a	NOUN	LEMMA	6A	6a
S0093	3	6a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0093	5	14h/17h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0097	22	desvende	VERB	LEMMA	desvender	desvendar
S0103	1	2a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0105	1	2a	NOUN	LEMMA	2A	2a
S0105	1	2a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0105	3	19h30/23h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0105	6	3a	NOUN	LEMMA	3A	3a
S0105	6	3a	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0105	8	9h30/13h	NOUN	LEMMA	9H30/13h	9h30/13h
S0105	8	9h30/13h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0117	1	2a	ADJ	LEMMA	2A	2a
S0117	1	2a	ADJ	FEATS	Gender=Fem|Number=Sing	Gender=Fem|NumType=Ord
S0117	3	6a	NOUN	LEMMA	6A	6a
S0117	3	6a	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0121	2	1o/3	NUM	LEMMA	1O/3	1o/3
S0123	44	sobre-humana	ADJ	LEMMA	sobRe-humano	sobre-humano
S0129	1	3a	NOUN	LEMMA	3A	3a
S0129	1	3a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0129	3	5a	NOUN	LEMMA	5A	5a
S0129	3	5a	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0129	5	8h/9h30	NOUN	LEMMA	8H/9H30	8h/9h30
