S0001	17	inovadora	ADJ	LEMMA	inovadoro	inovador
S0003	26	E	NOUN	LEMMA	E	e
S0003	26	E	NOUN	FEATS	_	Gender=Masc|Number=Sing
S0003	29	8h	NOUN	LEMMA	8H	8h
S0003	29	8h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	32	10h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	39	10h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	42	12h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	50	12h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	53	14h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0007	16	variantes	NOUN	FEATS	Gender=Fem|Number=Plur	Number=Plur
S0009	2	perca	VERB	LEMMA	percer	perder
S0009	14	Siga	VERB	LEMMA	sigir	seguir

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 5
Fchanged - fixed: 8
