S0001	1	felipe	PROPN	LEMMA	Felipe	felipe
S0009	3	propaganda	NOUN	FEATS	Number=Sing	Gender=Fem|Number=Sing
S0027	1	”idade	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0027	6	“idade	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0027	7	fluída”	PUNCT	LEMMA	FLUÍDA”	fluída”
S0027	36	crianças”	ADJ	LEMMA	criançao	crianças”
S0027	36	crianças”	ADJ	FEATS	Number=Plur	_
S0029	1	…	ADJ	FEATS	Gender=Masc|NumType=Ord	_
S0029	8	fiquem	VERB	LEMMA	fiquar	ficar
S0029	40	propaganda	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Fem|Number=Sing

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 4
Fchanged - fixed: 6
