S0011	32	status	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Masc
S0021	4	proposta	VERB	LEMMA	proposr	propor
S0023	26	extracurriculares	ADJ	LEMMA	extracurricularl	extracurricular
S0027	21	envolvido	VERB	LEMMA	envolvir	envolver
S0027	35	inovadoras	ADJ	LEMMA	inovadoro	inovador
S0031	1	Dr.	PUNCT	LEMMA	DR.	Dr.
S0033	11	Algumas	PROPN	LEMMA	algum	Algumas
S0035	6	infantis	ADJ	LEMMA	infantl	infantil
S0035	15	juvenis	ADJ	LEMMA	juvenl	juvenil

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 8
Fchanged - fixed: 1
