S0005	3	cumpridos	VERB	LEMMA	cumprer	cumprir
S0005	58	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0005	70	associadas	VERB	LEMMA	associado	associar
S0007	6	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0009	7	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0011	52	favores	NOUN	LEMMA	favore	favor
S0013	18	compunham	VERB	LEMMA	compunr	compor
S0015	2	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0019	18	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0019	44	obtido	VERB	LEMMA	obtir	obter
S0021	25	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0023	14	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0023	51	164-A	NOUN	LEMMA	164-A	164-a
S0025	3	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0029	11	constituem	VERB	LEMMA	constituer	constituir
S0029	30	cujos	DET	FEATS	Gender=Fem|Number=Sing|PronType=Rel	Gender=Masc|Number=Plur|PronType=Rel
S0033	11	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0033	17	adquiriu	VERB	LEMMA	adquirar	adquirir
S0037	28	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0041	4	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0041	25	entregue	VERB	LEMMA	entregr	entregar
S0047	3	adquiriu	VERB	LEMMA	adquirar	adquirir
S0047	26	adquiriu	VERB	LEMMA	adquirar	adquirir
S0047	31	164-A	NOUN	LEMMA	164-A	164-a
S0047	43	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0049	23	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0049	26	esposa	NOUN	LEMMA	esposa	esposo
S0051	14	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0051	17	constituem	VERB	LEMMA	constituer	constituir
S0051	19	pagas	VERB	LEMMA	par	pagar
S0051	26	favores	NOUN	LEMMA	favore	favor
S0053	25	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0055	42	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0057	9	escondido	VERB	LEMMA	escondir	esconder
S0057	26	materiais	NOUN	LEMMA	materiam	material
S0057	38	Ltda.	PROPN	LEMMA	LtDA.	Ltda.
S0061	25	proveio	VERB	LEMMA	proveir	provir
S0067	37	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0069	63	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0073	30	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0075	15	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente
S0077	8	ilustres	ADJ	LEMMA	ilustr	ilustre
S0077	13	sujeitas	ADJ	FEATS	Gender=Fem|Number=Plur|VerbForm=Part	Gender=Fem|Number=Plur
S0077	20	fundada	ADJ	FEATS	Gender=Fem|Number=Sing	Gender=Fem|Number=Sing|VerbForm=Part
S0079	10	ex-Presidente	PROPN	LEMMA	ex-presidente	ex-Presidente

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 42
Fchanged - fixed: 3
