S0001	7	19h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0005	2	#sosforçasarmadas	NOUN	LEMMA	#sosforçasarmado	#sosforçasarmadas
S0005	2	#sosforçasarmadas	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0005	3	#exércitobrasileiro	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|NumType=Ord
S0005	4	#fraudenaseleicões	NOUN	LEMMA	#fraudenaseleicão	#fraudenaseleicões
S0005	4	#fraudenaseleicões	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0009	3	eh	AUX	LEMMA	EH	eh
S0009	3	eh	AUX	FEATS	_	VerbForm=Fin
S0017	3	pra	ADP	LEMMA	pra	para
S0017	3	pra	ADP	FEATS	Abbr=Yes	_
S0029	3	eh	AUX	LEMMA	EH	eh
S0029	3	eh	AUX	FEATS	_	VerbForm=Fin
S0037	3	pra	ADP	LEMMA	pra	para
S0037	3	pra	ADP	FEATS	Abbr=Yes	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 6
Fchanged - fixed: 8
