S0001	3	NOITE	NOUN	LEMMA	NOITE	noite
S0001	3	NOITE	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0001	17	ALMOÇO	NOUN	LEMMA	ALMOÇO	almoço
S0003	3	Foto	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0003	6	Ferreira/divulgação	NOUN	LEMMA	ferreira/divulgação	Ferreira/divulgação
S0003	6	Ferreira/divulgação	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0009	2	perca	VERB	LEMMA	percer	perder
S0013	1	12h/15h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0013	3	5a	NOUN	LEMMA	5A	5a
S0013	3	5a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0013	5	sáb.	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0013	8	1h	NOUN	LEMMA	1H	1h
S0013	8	1h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0013	11	dom.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0015	9	DRINQUES	NOUN	LEMMA	DRINQUES	drinque
S0015	12	CELEBRIDADES	NOUN	LEMMA	CELEBRIDADES	celebridade
S0015	12	CELEBRIDADES	NOUN	FEATS	_	Gender=Fem|Number=Plur
S0017	3	Foto	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0023	1	Al.	PUNCT	LEMMA	AL.	Al.
S0025	5	Jd.	PUNCT	LEMMA	JD.	Jd.
S0029	1	19h/0h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0029	2	5a	NOUN	LEMMA	5A	5a
S0029	2	5a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0029	5	1h	NOUN	LEMMA	1H	1h
S0029	5	1h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0029	7	6a	NOUN	LEMMA	6A	6a
S0029	7	6a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0029	9	sáb.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0029	12	2h	NOUN	LEMMA	2H	2h
S0029	12	2h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0029	15	dom.	PUNCT	LEMMA	DOM.	dom.
S0031	2	2a	ADJ	LEMMA	2A	2a
S0031	2	2a	ADJ	FEATS	Gender=Fem|Number=Sing|NumType=Ord	Gender=Fem|NumType=Ord
S0031	3	.	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0033	12	PROMETE	VERB	LEMMA	prometar	prometer
S0033	15	DEPRESSÃO	PROPN	LEMMA	depressão	DEPRESSÃO
S0035	3	Foto	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0035	6	Brunelli/divulgação	NOUN	LEMMA	brunelli/divulgação	Brunelli/divulgação
S0035	6	Brunelli/divulgação	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0035	10	terça-feira	NOUN	LEMMA	terça-fEira	terça-feira
S0041	6	Jd.	PUNCT	LEMMA	JD.	Jd.
S0045	1	19h/0h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0045	3	4a	NOUN	LEMMA	4A	4a
S0045	3	4a	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0045	6	0h30	NOUN	LEMMA	0H30	0h30
S0045	8	5a	NOUN	LEMMA	5A	5a
S0045	8	5a	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0045	11	1h	NOUN	LEMMA	1H	1h
S0045	11	1h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0045	13	6a	NOUN	LEMMA	6A	6a
S0045	13	6a	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0045	16	1h30	NOUN	LEMMA	1H30	1h30
S0045	18	sáb.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0045	20	13h/2h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0045	22	dom.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0045	24	13h/23h30	NOUN	LEMMA	13h/23H30	13h/23h30
S0045	24	13h/23h30	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0047	9	QUE	PRON	LEMMA	QUE	que
S0049	3	Foto	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0049	9	portuguesas	ADJ	LEMMA	portugueso	portuguÃªs
S0055	1	11h30/0h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0055	2	sáb.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0055	4	dom.	PUNCT	LEMMA	DOM.	dom.
S0057	2	fer	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	Gender=Fem|Number=Sing
S0057	3	.	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0057	6	18h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0057	9	2a	ADJ	LEMMA	2o	2a
S0057	9	2a	ADJ	FEATS	Gender=Fem|Number=Sing|NumType=Ord	Gender=Fem|NumType=Ord
S0057	10	.	ADJ	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	NumType=Ord
S0061	3	Foto	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0061	12	pra	ADP	LEMMA	pra	para
S0061	12	pra	ADP	FEATS	Abbr=Yes	_
S0067	1	12h/23h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0067	2	sáb.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0067	4	dom.	PUNCT	LEMMA	DOM.	dom.
S0069	2	fer	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	Gender=Fem|Number=Sing
S0069	3	.	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0069	6	19h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0075	6	BAILINHO	NOUN	LEMMA	BAILINHO	bailinho
S0077	3	Foto	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0077	9	reabre	VERB	LEMMA	reabrer	reabrir
S0077	22	fizeram	VERB	LEMMA	fizeram	fazer
S0081	1	DJs	NOUN	LEMMA	DJs	djs
S0085	1	6a	NOUN	LEMMA	6A	6a
S0085	1	6a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0085	3	sáb.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0085	5	22h/últ	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0091	3	RODÍZIO	NOUN	LEMMA	RODÍZIO	rodízio
S0093	3	Foto	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0097	2	Brig.	PUNCT	LEMMA	BRIG.	Brig.
S0101	1	Sáb.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0101	3	12h/1h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0101	5	Dom.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0101	7	12h/19h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0105	3	Foto	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0105	10	1o	NOUN	FEATS	Gender=Masc|NumType=Ord	_
S0105	15	it.	PUNCT	LEMMA	IT.	it.
S0107	1	homenageia	VERB	LEMMA	homenageiar	homenagear
S0107	11	it.	PUNCT	LEMMA	IT.	it.
S0109	1	DJs	NOUN	LEMMA	DJs	djs
S0109	18	soul	X	FEATS	Foreign=Yes|Gender=Masc|Number=Sing	Foreign=Yes
S0111	6	vinis	NOUN	LEMMA	vini	vinil
S0115	1	Sáb.	PUNCT	LEMMA	SÁB.	Sáb.
S0117	2	1o	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0117	5	20h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0119	8	vip	X	FEATS	Foreign=Yes|Gender=Masc|Number=Sing	Foreign=Yes

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 47
Fchanged - fixed: 59
