S0007	8	sexta-feira	NOUN	LEMMA	sexta-Feira	sexta-feira
S0013	6	19h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0013	18	1h	NOUN	LEMMA	1H	1h
S0013	18	1h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0019	10	20h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0023	3	St.	PUNCT	LEMMA	ST.	St.
S0027	5	17h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0027	13	irlandesa	ADJ	LEMMA	irlandeso	irland̻s
S0029	9	irlandesa	ADJ	LEMMA	irlandeso	irland̻s
S0031	2	perca	VERB	LEMMA	percer	perder
S0033	30	surpresa	ADJ	LEMMA	surpresa	surpreso
S0035	16	15h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0035	24	14h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0037	6	inteira	NOUN	LEMMA	inteira	inteiro
S0037	12	meia	NOUN	LEMMA	meio	meia
S0041	11	19h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0043	1	Garanta	VERB	LEMMA	garanter	garantir
S0045	22	especiais	ADJ	LEMMA	especiai	especial
S0051	6	17h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0053	21	sexta	NOUN	LEMMA	sexta-feira	sexto
S0053	27	21h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0057	6	pague	VERB	LEMMA	paguar	pagar
S0057	8	puder	VERB	LEMMA	puder	poder
S0059	30	11h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0063	23	20h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0071	9	21h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0077	10	18h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0079	2	perca	VERB	LEMMA	percer	perder
S0081	32	15h30	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0087	2	5a	ADJ	LEMMA	5A	5a
S0089	18	MasterChef	PROPN	LEMMA	Masterchef	MasterChef

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 17
Fchanged - fixed: 14
