S0001	1	bruno	PROPN	LEMMA	Bruno	bruno
S0001	2	covas	NOUN	FEATS	Gender=Fem|Number=Sing	Gender=Fem|Number=Plur
S0001	15	covid-19	NUM	LEMMA	COVID-19	covid-19
S0001	48	meio	NUM	FEATS	Gender=Masc|NumType=Card	Gender=Masc|NumType=Frac
S0001	51	covas	NOUN	FEATS	_	Gender=Fem|Number=Plur
S0003	14	covid-19	NUM	LEMMA	COVID-19	covid-19
S0003	23	covas	NOUN	FEATS	Gender=Fem|Number=Sing	Gender=Fem|Number=Plur
S0005	1	#bolsonaroestavacerto	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|NumType=Ord
S0007	6	covas	NOUN	FEATS	Gender=Fem|Number=Sing	Gender=Fem|Number=Plur

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 3
Fchanged - fixed: 6
