S0001	7	Chapa	NOUN	FEATS	_	Number=Sing
S0001	8	Dilma-Temer	PROPN	LEMMA	Dilma-temer	Dilma-Temer
S0003	13	chapa	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0003	14	Dilma-Temer	PROPN	LEMMA	Dilma-temer	Dilma-Temer
S0009	11	chapa	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0011	4	premissas-chave	NOUN	LEMMA	premissAs-chave	premissas-chave
S0023	14	chapa	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0023	15	Dilma-Temer	PROPN	LEMMA	Dilma-temer	Dilma-Temer
S0025	23	concluiu	VERB	LEMMA	concluar	concluir
S0029	23	chapa	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 5
Fchanged - fixed: 5
