S0001	13	“teatro”	PUNCT	LEMMA	“TEATRO”	“teatro”
S0005	7	i>bomba	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0007	5	p…	ADJ	FEATS	Gender=Masc|NumType=Ord	_
S0007	15	p…	NOUN	FEATS	Gender=Masc	_
S0007	17	pra	ADP	LEMMA	pra	para
S0007	17	pra	ADP	FEATS	Abbr=Yes	_
S0011	7	i>bolsonaro	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0011	11	p…	NOUN	FEATS	Gender=Masc	_
S0011	13	v…	NOUN	FEATS	Gender=Masc|NumType=Ord	_
S0011	22	vasa	NOUN	FEATS	Number=Sing	Gender=Fem|Number=Sing
S0011	26	sociais…	PUNCT	LEMMA	SOCIAIS…	sociais…
S0011	42	seria	ADJ	FEATS	Mood=Cnd|Number=Sing|Person=3|VerbForm=Fin	Mood=Cnd|Number=Sing|Person=3
S0015	9	merda	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0019	3	c…	NOUN	FEATS	Gender=Masc	_
S0019	10	f…	NOUN	FEATS	Gender=Masc	_
S0019	13	f…	NOUN	FEATS	Gender=Masc	_
S0021	2	diz…	ADJ	FEATS	Gender=Masc|NumType=Ord	_
S0021	4	pra	ADP	LEMMA	pra	para
S0021	4	pra	ADP	FEATS	Abbr=Yes	_
S0023	2	baixo	ADV	FEATS	Gender=Masc|Number=Sing	_
S0023	4	c…	NOUN	FEATS	Gender=Masc	_
S0023	8	c…	NOUN	FEATS	Gender=Masc	_
S0023	17	m…	NOUN	FEATS	Gender=Masc	_
S0023	19	baixo	ADV	FEATS	Gender=Masc|Number=Sing	_
S0029	2	p…	NOUN	FEATS	Gender=Masc	_
S0033	5	m…	NOUN	FEATS	Gender=Masc	_
S0033	7	pra	ADP	LEMMA	pra	para
S0033	7	pra	ADP	FEATS	Abbr=Yes	_
S0033	11	p…	NOUN	FEATS	Gender=Fem|NumType=Ord	_
S0039	13	m…	NOUN	FEATS	Gender=Masc	_
S0045	4	m…	NOUN	FEATS	Gender=Masc	_
S0049	5	p…	NOUN	FEATS	Gender=Masc	_
S0049	7	pra	ADP	LEMMA	pra	para
S0049	7	pra	ADP	FEATS	Abbr=Yes	_
S0049	8	c…	NOUN	FEATS	Gender=Masc	_
S0051	6	p…	NOUN	FEATS	Gender=Masc	_
S0051	14	v…	NOUN	FEATS	Gender=Masc	_
S0053	2	i.	PUNCT	LEMMA	I.	i.

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 31
