S0001	7	terça-feira	NOUN	LEMMA	terça-Feira	terça-feira
S0001	12	cabra	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0001	15	jardins	NOUN	LEMMA	jardin	jardim
S0003	8	8h30	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	15	cabras	NOUN	FEATS	Gender=Fem|Number=Plur	Number=Plur
S0005	17	cabra	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0007	17	cabra	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0015	7	cabra	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0015	20	jardins	NOUN	LEMMA	jardin	jardim
S0017	12	9h30	NOUN	LEMMA	9H30	9h30
S0017	12	9h30	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0021	7	incidentes	NOUN	FEATS	Gender=Masc|Number=Plur	Number=Plur

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 4
Fchanged - fixed: 8
