S0003	16	brasil	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0005	11	pra	ADP	LEMMA	pra	para
S0005	11	pra	ADP	FEATS	Abbr=Yes	_
S0005	39	entendeu	VERB	LEMMA	entendar	entender
S0007	12	puder	VERB	LEMMA	puder	poder
S0007	20	esposa	NOUN	LEMMA	esposa	esposo
S0007	30	pra	ADP	LEMMA	pra	para
S0007	30	pra	ADP	FEATS	Abbr=Yes	_
S0007	42	pra	ADP	LEMMA	pra	para
S0007	42	pra	ADP	FEATS	Abbr=Yes	_
S0007	59	esposa	NOUN	LEMMA	esposa	esposo

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 4
