S0001	13	Meio-Irmão	PROPN	LEMMA	Meio-irmão	Meio-Irmão
S0003	14	Jong-nam	PROPN	LEMMA	Jong-Nam	Jong-nam
S0007	3	malaias	ADJ	LEMMA	malaia	malaio
S0007	21	sugerem	VERB	LEMMA	sugerer	sugerir
S0009	13	conhecido	ADJ	LEMMA	conhecer	conhecido
S0017	5	Jong-nam	PROPN	LEMMA	Jong-Nam	Jong-nam
S0021	5	sugerem	VERB	LEMMA	sugerer	sugerir
S0023	2	Han-sol	PROPN	LEMMA	Han-SOl	Han-sol
S0023	7	Jong-nam	PROPN	LEMMA	Jong-Nam	Jong-nam
S0027	24	Jong-nam	PROPN	LEMMA	Jong-Nam	Jong-nam
S0029	7	Jong-nam	PROPN	LEMMA	Jong-Nam	Jong-nam

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 11
Fchanged - fixed: 0
